,id_object,addres_object,developer_object,group_company,amount_floors,amount_apartments,area,commissioning,picture
23,36846,"г Хабаровск, район Центральный, ул Ким Ю Чена, строение 23/1",ООО ИСК РЕАЛ СТРОЙ,Реал Строй,21,74,4 540,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/24a11d85-5fc6-4955-b7eb-38cf0e3563f1
24,4418,"г Хабаровск, район Центральный, улица Ленинградская, д. 27, строение Гостиница",ООО ЛИДЕР,БАСК,16,-,-,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/8d423c43-6233-4a67-b8db-9a9099bf4cba
25,34613,"г Хабаровск, Алексеевская",ООО СТРОЙМЕТАЛЛ Л,СтройМеталл,11,136,4 981,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/87e00901-9d57-4c1e-9af3-8245e73d5f3d
26,34612,"г Хабаровск, ул Алексеевская",ООО СТРОЙМЕТАЛЛ Л,СтройМеталл,8,210,6 960,I кв. 2024,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/a18f39f0-2876-458b-94e5-016b8e72e92a
27,34616,"г Хабаровск, ул Алексеевская, блок-секция 3 А,3Б",ООО СТРОЙМЕТАЛЛ Л,СтройМеталл,11,228,7 878,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/308a7c9b-2099-4223-88c8-bd2b795fe87e
28,35427,"г Хабаровск, ул Заозерная, д. 16-18",ООО СМС АВТО,Компания КЕТОМ,15,120,6 509,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/13d3b235-8cbd-4152-bc88-d2fce332b4e9
29,37848,"г Хабаровск, улица Стрельникова, д. 16/1, блок-секция 1",ООО СЗ ХОЛДИНГ СК ЭВЕРЕСТ,Эверест,8,39,1 568,II кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/1fc78468-fc77-4eed-a4ee-fc9056dde0d3
30,37849,"г Хабаровск, улица Стрельникова, д. 16/1, блок-секция 2",ООО СЗ ХОЛДИНГ СК ЭВЕРЕСТ,Эверест,8,39,1 568,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/69391167-cb02-4b2b-ad46-b57cb32b9dc8
31,22215,"г Хабаровск, Индустриальный район, улица Юности, д. 13",ООО ЭНКА ИНВЕСТ,ЭНКА,11,110,5 021,III кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/f4e16e94-7dd1-476a-87ad-b08d7bc3a341
32,22217,"г Хабаровск, Индустриальный район, улица Юности, д. 16",ООО ЭНКА ИНВЕСТ,ЭНКА,11,118,4 971,II кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/7cd6e438-03e8-4c4a-8587-30981ec9cdd8
33,22216,"г Хабаровск, Индустриальный район, улица Юности, д. 17",ООО ЭНКА ИНВЕСТ,ЭНКА,11,110,5 021,II кв. 2024,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/191b16fc-275f-424f-a06a-e62ab85b22f5
34,22214,"г Хабаровск, Индустриальный район, улица Юности, д. 12",ООО ЭНКА ИНВЕСТ,ЭНКА,11,124,4 808,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/b1abb96c-d997-4921-ac6b-b4b62f4dbb2a
35,22218,"г Хабаровск, Индустриальный район, улица Юности, д. 15",ООО ЭНКА ИНВЕСТ,ЭНКА,11,118,4 971,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/c205cfa5-8242-44d6-9e8d-07524beb4a56
36,36338,"г Хабаровск, район Кировский",ООО СЗ ВЗЛЁТ ДЕВЕЛОПМЕНТ,-,21,231,11 046,II кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/b16da6a8-c810-4c3a-9d69-53789050c31b
37,42235,"г Хабаровск, ул Ленина, д. 47",ООО СЗ УЮТ,Архстрой,4,-,-,III кв. 2022,-
